Itr: 150, Loss: 0.0731525793671608, L_s: 0.07315069437026978, L_vlb: 0.0018839600961655378
Itr: 151, Loss: 0.02328740619122982, L_s: 0.02328728511929512, L_vlb: 0.00012171786511316895
Itr: 152, Loss: 0.02842191979289055, L_s: 0.028421472758054733, L_vlb: 0.0004464232479222119
Itr: 153, Loss: 0.02457461692392826, L_s: 0.02457442507147789, L_vlb: 0.00019271376368124038
Itr: 154, Loss: 0.008512427099049091, L_s: 0.00851232185959816, L_vlb: 0.00010564300464466214
Itr: 155, Loss: 0.04600593075156212, L_s: 0.046002097427845, L_vlb: 0.003832213580608368
Itr: 156, Loss: 0.03063218668103218, L_s: 0.030631935223937035, L_vlb: 0.0002513351500965655
Itr: 157, Loss: 0.015631888061761856, L_s: 0.015631772577762604, L_vlb: 0.00011503666610224172
Itr: 158, Loss: 0.07243388891220093, L_s: 0.07243182510137558, L_vlb: 0.002065513748675585
Itr: 159, Loss: 0.018519094213843346, L_s: 0.018518909811973572, L_vlb: 0.00018444794113747776
Itr: 160, Loss: 0.03351689502596855, L_s: 0.03351663053035736, L_vlb: 0.00026291824178770185
Itr: 161, Loss: 0.043473776429891586, L_s: 0.043470513075590134, L_vlb: 0.00326363742351532
Itr: 162, Loss: 0.022091083228588104, L_s: 0.022090937942266464, L_vlb: 0.0001447525282856077
Itr: 163, Loss: 0.03171196207404137, L_s: 0.03171154856681824, L_vlb: 0.0004143666010349989
Itr: 164, Loss: 0.04185112193226814, L_s: 0.04185020923614502, L_vlb: 0.0009119374444708228
Itr: 165, Loss: 0.018625950440764427, L_s: 0.01862579956650734, L_vlb: 0.00015036831609904766
Itr: 166, Loss: 0.016629934310913086, L_s: 0.016629835590720177, L_vlb: 9.800200496101752e-05
Itr: 167, Loss: 0.061102453619241714, L_s: 0.06109619140625, L_vlb: 0.00626364117488265
Itr: 168, Loss: 0.07947847992181778, L_s: 0.07945462316274643, L_vlb: 0.023854145780205727
Itr: 169, Loss: 0.02417764812707901, L_s: 0.024177489802241325, L_vlb: 0.00015821860870346427
